HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.task,Answer.comment,Approve,Reject
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2ERMAZHHRRLF23V4F4IH6KHQ710DM8,APWBUB0PDRLS5,Approved,Tue Jan 07 02:35:44 GMT 2014,Tue Jan 07 02:36:59 GMT 2014,Tue Jan 07 10:36:59 GMT 2014,2014/01/07 10:37:45 +0000,,,75,100% (8/8),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*102:266*659:793|,,
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2JR6KW4ZMAZHTUY27ZROSNVTFOUH8N,A2REB1YFZ4CP2S,Approved,Tue Jan 07 01:33:41 GMT 2014,Tue Jan 07 01:35:12 GMT 2014,Tue Jan 07 09:35:12 GMT 2014,2014/01/07 09:37:45 +0000,,,91,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*726:792*267:375|,,
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2PD6VCPWZ9RNPZP5NAJ7XN3FR3KPAK,A3RQQWMUZJUWJ1,Approved,Tue Jan 07 03:31:34 GMT 2014,Tue Jan 07 03:35:18 GMT 2014,Tue Jan 07 11:35:18 GMT 2014,2014/01/07 11:37:45 +0000,,,224,92% (12/13),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*436:547|Recorded*658:793,,
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2SY2NJQ2172ZLCXYYKBLHVEDSOXXP0,A31DFBL14RCA0J,Approved,Tue Jan 07 04:31:39 GMT 2014,Tue Jan 07 04:33:58 GMT 2014,Tue Jan 07 12:33:58 GMT 2014,2014/01/07 12:37:46 +0000,,,139,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*102:266*659:793|,,
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2W0JIA0RYNJ9EQQ1E9WBRJTWFLM27J,A1C278HSIPZZ49,Approved,Tue Jan 07 03:08:59 GMT 2014,Tue Jan 07 03:10:19 GMT 2014,Tue Jan 07 11:10:19 GMT 2014,2014/01/07 11:12:45 +0000,,,80,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*0:102*659:793|,,
2S5FSVGULF39HV3NFPSFX3NZCWJ9NK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2YMQIHPCGJ2DE4VKOEOH5JPRQ5G820,AHLADH7JTJRO8,Approved,Tue Jan 07 01:52:15 GMT 2014,Tue Jan 07 01:54:44 GMT 2014,Tue Jan 07 09:54:44 GMT 2014,2014/01/07 09:57:45 +0000,,,149,100% (11/11),100% (2/2),100% (2/2),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=0,Recorded*267:375*437:622|,,
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,25H9746OQ1SN2TE7YGR56QKELERN3Q,A1C278HSIPZZ49,Approved,Tue Jan 07 03:10:31 GMT 2014,Tue Jan 07 03:11:47 GMT 2014,Tue Jan 07 11:11:47 GMT 2014,2014/01/07 11:12:45 +0000,,,76,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*494:594*306:357|,,
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,29PR24SMEZZ2YLR3FIL8U9Y56GUJ2F,AA53PK560WIO8,Approved,Tue Jan 07 05:20:45 GMT 2014,Tue Jan 07 05:23:18 GMT 2014,Tue Jan 07 13:23:18 GMT 2014,2014/01/07 13:27:45 +0000,,,153,50% (1/2),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*0:105*189:305|,,
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2AGHOVR14IXK05SQUQ5C1A6Z1L687K,APWBUB0PDRLS5,Approved,Tue Jan 07 02:13:42 GMT 2014,Tue Jan 07 02:15:09 GMT 2014,Tue Jan 07 10:15:09 GMT 2014,2014/01/07 10:17:45 +0000,,,87,100% (8/8),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*106:189*358:493|,,
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2GNCPWZ9RNDWUR2IKGJN8DTISP4CRE,A2LBH2X1DIWOD,Approved,Tue Jan 07 06:13:36 GMT 2014,Tue Jan 07 06:17:19 GMT 2014,Tue Jan 07 14:17:19 GMT 2014,2014/01/07 14:17:45 +0000,,,223,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*4:105*110:188|,,
