HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.task,Answer.comment,Approve,Reject
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,20WJ3NAB6BFMRIVFQRK1YJFFE1ATGX,AK1MSQTX1C1QN,Approved,Tue Jan 07 02:23:57 GMT 2014,Tue Jan 07 02:27:55 GMT 2014,Tue Jan 07 10:27:55 GMT 2014,2014/01/07 10:32:45 +0000,,,238,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*376:436*266:270*144:179*216:224*463:475*550:564|,,
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,28X8B727M0IGRNOUTFPFXVF6T50CXJ,A2MNOBR7QOASXL,Approved,Tue Jan 07 01:40:26 GMT 2014,Tue Jan 07 01:42:52 GMT 2014,Tue Jan 07 09:42:52 GMT 2014,2014/01/07 09:47:45 +0000,,,146,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*102:111*207:209*266:270*376:436*550:564|,,
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2C2ESCWY2AOOEJT36PFOLQSEKUM11K,A111JI6APXR6QV,Approved,Tue Jan 07 06:47:45 GMT 2014,Tue Jan 07 06:49:41 GMT 2014,Tue Jan 07 14:49:41 GMT 2014,2014/01/07 14:52:46 +0000,,,116,100% (8/8),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*216:223*266:270*553:564*659:662|Nice and interesting hits. Thanks. Love to work more for you always. Wish you all the best. Happy New Year.,,
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2PD6VCPWZ9RNPZP5NAJ7XN3FR3LPAL,A3RQQWMUZJUWJ1,Approved,Tue Jan 07 03:47:44 GMT 2014,Tue Jan 07 03:48:46 GMT 2014,Tue Jan 07 11:48:46 GMT 2014,2014/01/07 11:52:46 +0000,,,62,92% (12/13),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*101:266*101:266*623:793|,,
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2SHDOBDDP8PJ8N1U5HOMG3Q57MDE3F,A2REB1YFZ4CP2S,Approved,Tue Jan 07 01:49:46 GMT 2014,Tue Jan 07 01:51:08 GMT 2014,Tue Jan 07 09:51:08 GMT 2014,2014/01/07 09:52:45 +0000,,,82,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*437:658*102:267|,,
2U0PDOBDDP8PVZRB5MZXRB3RSM42D0,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2WR9O9Z6KW4ZYD6Y90ILKQ0QLBX4DO,A1C7ELA8GFN9LA,Approved,Tue Jan 07 06:18:11 GMT 2014,Tue Jan 07 06:18:44 GMT 2014,Tue Jan 07 14:18:44 GMT 2014,2014/01/07 14:22:45 +0000,,,33,100% (8/8),100% (5/5),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=0,Recorded*102:436|,,
2YQ8MQU6L5OB7FPIJ6O4FIJGWTZDWT,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,24DF395SW6NGDIZKF7EJGYF3DMBTFZ,AK1MSQTX1C1QN,Approved,Tue Jan 07 02:30:31 GMT 2014,Tue Jan 07 02:32:43 GMT 2014,Tue Jan 07 10:32:43 GMT 2014,2014/01/07 10:32:45 +0000,,,132,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=1,Recorded*0:5*105:109*189:231*238:244*255:263*306:309*401:451|,,
2YQ8MQU6L5OB7FPIJ6O4FIJGWTZDWT,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2ABG5TYMNCWYN7GW11JSMX13HCPJNC,A1C7ELA8GFN9LA,Approved,Tue Jan 07 06:14:14 GMT 2014,Tue Jan 07 06:15:51 GMT 2014,Tue Jan 07 14:15:51 GMT 2014,2014/01/07 14:17:45 +0000,,,97,100% (8/8),100% (5/5),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=1,Recorded*358:493*222:306|,,
2YQ8MQU6L5OB7FPIJ6O4FIJGWTZDWT,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2IAUB2YU98JH4WSSVURFGJ9KMYAMAM,A3RQQWMUZJUWJ1,Approved,Tue Jan 07 03:46:09 GMT 2014,Tue Jan 07 03:47:38 GMT 2014,Tue Jan 07 11:47:38 GMT 2014,2014/01/07 11:47:45 +0000,,,89,92% (12/13),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=1,Recorded*0:105*305:493|,,
2YQ8MQU6L5OB7FPIJ6O4FIJGWTZDWT,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2VQ58B727M0ISIRY5AXYKSVH2JLBWB,A111JI6APXR6QV,Approved,Tue Jan 07 06:26:20 GMT 2014,Tue Jan 07 06:33:07 GMT 2014,Tue Jan 07 14:33:07 GMT 2014,2014/01/07 14:37:45 +0000,,,407,100% (8/8),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=1,Recorded*0:3*92:104*106:110*306:310*225:231*238:245*261:306*399:451|Nice and interesting hits. Thanks. Love to work more for you always. Wish you all the best. Happy New Year.,,
2YQ8MQU6L5OB7FPIJ6O4FIJGWTZDWT,2GCMJUNU8LZ63A7XX008I8J3WLJI2Y,Highlight paragraph areas that can be shortened,Identify at least one area that can be shortened without changing the meaning of the paragraph,selection* text* summarization,$0.08 ,Tue Jan 07 01:07:36 GMT 2014,6,BatchId:1377598;,3600,28800,Tue Jan 14 01:07:36 GMT 2014,,,2XXF3Q0JG5TYYQJDQKV9K9SUQ49EIE,A2MNOBR7QOASXL,Approved,Tue Jan 07 01:45:50 GMT 2014,Tue Jan 07 01:48:13 GMT 2014,Tue Jan 07 09:48:13 GMT 2014,2014/01/07 09:52:45 +0000,,,143,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/find.html?p=1,Recorded*189:221*220:224*425:440|,,
