HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.task,Answer.comment,Approve,Reject
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,27MYT3DHJHP4NGK18DP8WSXBVXTU1Y,A1LTZ91HPYLFFT,Approved,Wed Jan 08 19:47:51 GMT 2014,Wed Jan 08 19:48:21 GMT 2014,Wed Jan 08 19:48:21 PST 2014,Wed Jan 08 13:11:36 PST 2014,,,30,100% (7/7),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*267:374*725:793|Its very easy and interesting...,,
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,286PLSP75KLMIZQKGJ8QJQVLP0MZTS,A2QKOPBSTYQOLR,Approved,Thu Jan 09 03:17:23 GMT 2014,Thu Jan 09 03:18:18 GMT 2014,Thu Jan 09 11:18:18 GMT 2014,2014/01/09 11:22:45 +0000,,,55,100% (12/12),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*0:101*623:793|,,
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2IKV7WGKCCVLX6JRVCDHFPQ6A4FT3F,A111JI6APXR6QV,Approved,Thu Jan 09 00:51:15 GMT 2014,Thu Jan 09 00:53:26 GMT 2014,Thu Jan 09 08:53:26 GMT 2014,2014/01/09 08:57:47 +0000,,,131,100% (20/20),100% (15/15),100% (15/15),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*0:101*437:622|Nice and interesting hits. Thanks.,,
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2NGBDDP8PJWK6GKPPV23V391Y795GL,A3PDKI5EE5ZC5B,Approved,Thu Jan 09 03:51:36 GMT 2014,Thu Jan 09 03:53:58 GMT 2014,Thu Jan 09 11:53:58 GMT 2014,2014/01/09 11:57:47 +0000,,,142,100% (36/36),100% (9/9),100% (9/9),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*267:375*658:793|,,
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2SL3HVWAVKI6EQQ7UAY2499SF2COG7,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:33:21 GMT 2014,Thu Jan 09 03:34:25 GMT 2014,Thu Jan 09 11:34:25 GMT 2014,2014/01/09 11:37:45 +0000,,,64,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*659:793*437:622|,,
2W80ONNVRH1KTRGV8027BNVAAZBWN8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2W2ZHHRRLFQ00QUCJQSKMO9GEMAOF4,ADTY9VY7XH5NU,Approved,Thu Jan 09 02:54:15 GMT 2014,Thu Jan 09 02:54:19 GMT 2014,Thu Jan 09 10:54:19 GMT 2014,2014/01/09 10:57:46 +0000,,,4,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=0,Recorded*658:793*0:101|,,
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,22LMOFXRDS4IO4LF5WOJKM138YJWT0,A3PDKI5EE5ZC5B,Approved,Thu Jan 09 03:35:43 GMT 2014,Thu Jan 09 03:39:27 GMT 2014,Thu Jan 09 11:39:27 GMT 2014,2014/01/09 11:42:48 +0000,,,224,100% (36/36),100% (9/9),100% (9/9),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*0:104*305:357|,,
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,23NOK5UFJ51YJTL5ROPQX1CURIQ7AP,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:30:22 GMT 2014,Thu Jan 09 03:31:21 GMT 2014,Thu Jan 09 11:31:21 GMT 2014,2014/01/09 11:32:46 +0000,,,59,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*0:105*190:305|,,
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,244F806UFBNF4YNBDOU9ASW8LBT1FN,A3RVAXFCE6GBM0,Approved,Thu Jan 09 00:46:20 GMT 2014,Thu Jan 09 00:51:58 GMT 2014,Thu Jan 09 08:51:58 GMT 2014,2014/01/09 08:52:46 +0000,,,338,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*101:105*305:494|Some of the sentences were a little difficult to understand due to grammar errors.,,
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2NMCF806UFBNRV2XMU63E5SY4JGE0P,A2QKOPBSTYQOLR,Approved,Thu Jan 09 03:13:31 GMT 2014,Thu Jan 09 03:14:24 GMT 2014,Thu Jan 09 11:14:24 GMT 2014,2014/01/09 11:17:45 +0000,,,53,100% (12/12),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*305:356*495:594|,,
